,title,budget,revenue,RB Ratio,metascore
Step Up 3D,Step Up 3D,30000000,159291809,5.309726967,45
Blue Crush,Blue Crush,25000000,51842679,2.07370716,61
Stranger Than Fiction,Stranger Than Fiction,30000000,53653224,1.7884408,67
30 Days of Night,30 Days of Night,30000000,75505973,2.516865767,53
The Cabin in the Woods,The Cabin in the Woods,30000000,66486080,2.216202667,72
Meet the Spartans,Meet the Spartans,30000000,84646831,2.821561033,9
Midnight Run,Midnight Run,30000000,38413606,1.280453533,78
The Running Man,The Running Man,27000000,38122105,1.411929815,45
Little Shop of Horrors,Little Shop of Horrors,25000000,38748395,1.5499358,81
Hanna,Hanna,30000000,63782078,2.126069267,65
Mortal Kombat: Annihilation,Mortal Kombat: Annihilation,30000000,51376861,1.712562033,11
Larry Crowne,Larry Crowne,30000000,36160375,1.205345833,41
Carrie,Carrie,30000000,82394288,2.746476267,85
Take the Lead,Take the Lead,30000000,34742066,1.158068867,55
Gridiron Gang,Gridiron Gang,30000000,41480851,1.382695033,52
9,9,30000000,48428063,1.614268767,60
Side Effects,Side Effects,30000000,63372757,2.112425233,75
Winnie the Pooh,Winnie the Pooh,30000000,14460000,0.482,74
Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,2.066711316,19
Bulworth,Bulworth,30000000,29202884,0.973429467,75
Virtuosity,Virtuosity,30000000,24048000,0.8016,39
Sanctum,Sanctum,30000000,108609310,3.620310333,42
Little Black Book,Little Black Book,35000000,22034832,0.629566629,36
The Five-Year Engagement,The Five-Year Engagement,30000000,53909751,1.7969917,62
Mr. 3000,Mr. 3000,30000000,21800302,0.726676733,57
The Next Three Days,The Next Three Days,30000000,51148651,1.704955033,52
Ultraviolet,Ultraviolet,30000000,31070211,1.0356737,18
Assault on Precinct 13,Assault on Precinct 13,30000000,35294470,1.176482333,54
The Replacement Killers,The Replacement Killers,30000000,19204929,0.6401643,42
Love & Other Drugs,Love & Other Drugs,30000000,102820008,3.4273336,51
88 Minutes,88 Minutes,30000000,16930884,0.5643628,17
North Country,North Country,35000000,25224242,0.720692629,68
The Whole Ten Yards,The Whole Ten Yards,40000000,26155781,0.653894525,24
Howard the Duck,Howard the Duck,37000000,37962774,1.026020919,28
Pride and Glory,Pride and Glory,30000000,31148328,1.0382776,45
The Cave,The Cave,30000000,15007991,0.500266367,30
Wicker Park,Wicker Park,30000000,13001257,0.433375233,40
Fright Night,Fright Night,17000000,24922237,1.466013941,64
The New World,The New World,30000000,30536013,1.0178671,69
Godsend,Godsend,25000000,30114487,1.20457948,24
Chasing Liberty,Chasing Liberty,23000000,12,5.21739E-07,46
An Unfinished Life,An Unfinished Life,30000000,18618284,0.620609467,49
The Imaginarium of Doctor Parnassus,The Imaginarium of Doctor Parnassus,30000000,64352607,2.1450869,65
Barney's Version,Barney's Version,30000000,8454301,0.281810033,67
Runner Runner,Runner Runner,30000000,62616646,2.087221533,36
Antitrust,Antitrust,30000000,18195610,0.606520333,31
Glory,Glory,18000000,26828365,1.490464722,78
Miss Potter,Miss Potter,30000000,35078241,1.1692747,57
DOA: Dead or Alive,DOA: Dead or Alive,21000000,480314,0.022872095,38
The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,30000000,14711793,0.4903931,68
1911,1911,30000000,108348,0.0036116,37
Machine Gun Preacher,Machine Gun Preacher,30000000,2527904,0.084263467,43
Sausage Party,Sausage Party,19000000,140752617,7.408032474,66
Pitch Perfect 2,Pitch Perfect 2,29000000,287506194,9.91400669,63
Walk the Line,Walk the Line,28000000,186438883,6.658531536,72
Keeping the Faith,Keeping the Faith,30000000,37036004,1.234533467,60
Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,30000000,33013805,1.100460167,67
Serving Sara,Serving Sara,29000000,16930185,0.583799483,18
The Boss,The Boss,29000000,78636257,2.711595069,40
Seed of Chucky,Seed of Chucky,12000000,24829644,2.069137,46
The Jacket,The Jacket,29000000,21126225,0.728490517,44
Straight Outta Compton,Straight Outta Compton,28000000,201634991,7.201249679,72
Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,28000000,333000000,11.89285714,57
Along Came a Spider,Along Came a Spider,60000000,105178561,1.752976017,42
Florence Foster Jenkins,Florence Foster Jenkins,29000000,48902953,1.686308724,71
Once Upon a Time in Mexico,Once Upon a Time in Mexico,29000000,98185582,3.385709724,56
Die Hard,Die Hard,28000000,140767956,5.027427,72
Role Models,Role Models,28000000,92380927,3.299318821,61
The Big Short,The Big Short,28000000,133346506,4.762375214,81
Miracle,Miracle,28000000,64445708,2.301632429,68
Dawn of the Dead,Dawn of the Dead,28000000,102356381,3.655585036,59
The Wedding Planner,The Wedding Planner,35000000,94728529,2.7065294,33
The Royal Tenenbaums,The Royal Tenenbaums,21000000,71441250,3.401964286,76
Identity,Identity,30000000,90259536,3.0086512,64
Last Vegas,Last Vegas,28000000,134402450,4.8000875,48
For Your Eyes Only,For Your Eyes Only,28000000,195312802,6.975457214,54
Serendipity,Serendipity,28000000,77516304,2.768439429,52
Timecop,Timecop,27000000,101646581,3.764688185,48
Zoolander,Zoolander,28000000,60780981,2.170749321,61
Safe Haven,Safe Haven,28000000,97594140,3.485505,34
No Reservations,No Reservations,28000000,92601050,3.307180357,50
Kick-Ass,Kick-Ass,28000000,96188903,3.435317964,66
30 Minutes or Less,30 Minutes or Less,28000000,40547440,1.448122857,49
Dracula 2000,Dracula 2000,28000000,33000337,1.178583464,26
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,100654149,3.594791036,54
Pride & Prejudice,Pride & Prejudice,28000000,121147947,4.326712393,79
Blade Runner,Blade Runner,28000000,33139618,1.183557786,89
Rob Roy,Rob Roy,28000000,31596911,1.128461107,55
3 Days to Kill,3 Days to Kill,28000000,52597999,1.878499964,40
We Own the Night,We Own the Night,21000000,54926886,2.615566,59
Winged Migration,Winged Migration,35866397,20217080,0.563677472,82
Just My Luck,Just My Luck,28000000,38159905,1.36285375,29
"Mystery, Alaska","Mystery, Alaska",28000000,8888143,0.317433679,49
The Spy Next Door,The Spy Next Door,28000000,45236543,1.615590821,27
Ghosts of Mars,Ghosts of Mars,28000000,14010832,0.500386857,35
Our Brand Is Crisis,Our Brand Is Crisis,28000000,7002261,0.25008075,53
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,28000000,16374328,0.584797429,45
Kundun,Kundun,28000000,5684789,0.203028179,74
How to Lose Friends & Alienate People,How to Lose Friends & Alienate People,27000000,17286299,0.640233296,35
Kick-Ass 2,Kick-Ass 2,28000000,60700000,2.167857143,41
Brick Mansions,Brick Mansions,28000000,68896829,2.460601036,40
Octopussy,Octopussy,27500000,187500000,6.818181818,63
Knocked Up,Knocked Up,30000000,219076518,7.3025506,85
My Sister's Keeper,My Sister's Keeper,30000000,95714875,3.190495833,51
Welcome Home Roscoe Jenkins,Welcome Home Roscoe Jenkins,35000000,43650785,1.247165286,46
Notes on a Scandal,Notes on a Scandal,15000000,49469904,3.2979936,73
Rendition,Rendition,27500000,24748670,0.899951636,55
Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,27000000,96900000,3.588888889,65
Kiss the Girls,Kiss the Girls,27000000,60527873,2.241773074,46
The Blues Brothers,The Blues Brothers,27000000,115229890,4.267773704,60
The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2,27000000,44352417,1.642682111,63
About a Boy,About a Boy,27000000,129000000,4.777777778,75
Lake Placid,Lake Placid,27000000,56870414,2.10631163,34
Lucky Number Slevin,Lucky Number Slevin,27000000,56308881,2.085514111,53
The Right Stuff,The Right Stuff,27000000,21500000,0.796296296,91
Anonymous,Anonymous,30000000,15395087,0.513169567,50
The NeverEnding Story,The NeverEnding Story,27000000,20158808,0.746622519,46
Dark City,Dark City,27000000,27200316,1.007419111,66
Return to Oz,Return to Oz,25000000,11137801,0.44551204,42
The Newton Boys,The Newton Boys,27000000,76000000,2.814814815,57
Case 39,Case 39,27000000,29000000,1.074074074,25
Suspect Zero,Suspect Zero,27000000,13000000,0.481481481,37
Money Monster,Money Monster,27000000,93282604,3.454911259,55
Mindhunters,Mindhunters,27000000,21148829,0.783289963,33
Paul Blart: Mall Cop,Paul Blart: Mall Cop,26000000,183293131,7.049735808,39
Freaky Friday,Freaky Friday,26000000,110230332,4.239628154,70
The 40 Year Old Virgin,The 40 Year Old Virgin,26000000,109449237,4.209586038,73
Shakespeare in Love,Shakespeare in Love,25000000,289317794,11.57271176,87
A Walk Among the Tombstones,A Walk Among the Tombstones,28000000,53181600,1.899342857,57
Kindergarten Cop,Kindergarten Cop,15000000,201957688,13.46384587,61
Pineapple Express,Pineapple Express,27000000,101624843,3.763883074,64
Ever After: A Cinderella Story,Ever After: A Cinderella Story,26000000,65705772,2.527145077,66
Open Range,Open Range,22000000,68296293,3.104376955,67
Flatliners,Flatliners,26000000,61489265,2.364971731,55
Red Eye,Red Eye,26000000,57891803,2.226607808,71
Final Destination 2,Final Destination 2,26000000,90426405,3.477938654,38
"O Brother, Where Art Thou?","O Brother, Where Art Thou?",26000000,71868327,2.764166423,69
Legion,Legion,26000000,67918658,2.612256077,32
Pain & Gain,Pain & Gain,25000000,86175291,3.44701164,45
Clockstoppers,Clockstoppers,26000000,38793283,1.492049346,40
Brothers,Brothers,26000000,43318349,1.666090346,58
Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,26000000,28818995,1.108422885,32
New Year's Eve,New Year's Eve,56000000,142044638,2.536511393,22
Original Sin,Original Sin,42000000,35402320,0.842912381,33
The Raven,The Raven,26000000,29657751,1.140682731,44
Welcome to Mooseport,Welcome to Mooseport,30000000,14000000,0.466666667,33
Highlander: The Final Dimension,Highlander: The Final Dimension,26000000,36800000,1.415384615,28
Flipper,Flipper,25530000,20080020,0.786526439,43
Self/less,Self/less,26000000,30523226,1.173970231,34
The Constant Gardener,The Constant Gardener,25000000,82466670,3.2986668,82
Gran Torino,Gran Torino,33000000,269958228,8.180552364,72
W.,W.,25100000,29506464,1.175556335,56
Taken,Taken,25000000,226830568,9.07322272,51
The Best of Me,The Best of Me,26000000,35926213,1.381777423,29
Schindler's List,Schindler's List,22000000,321365567,14.60752577,94
The Help,The Help,25000000,124272124,4.97088496,62
The Fifth Estate,The Fifth Estate,28000000,8555008,0.305536,49
Freddy vs. Jason,Freddy vs. Jason,30000000,114908830,3.830294333,37
Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,25000000,80936232,3.23744928,65
Cloverfield,Cloverfield,25000000,170764026,6.83056104,64
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,78000000,3.12,45
The Untouchables,The Untouchables,25000000,76270454,3.05081816,79
No Country for Old Men,No Country for Old Men,25000000,171600000,6.864,91
Ride Along,Ride Along,25000000,153997819,6.15991276,41
Bridget Jones's Diary,Bridget Jones's Diary,25000000,281929795,11.2771918,66
Chocolat,Chocolat,25000000,152500343,6.10001372,64
"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",45000000,124914842,2.775885378,47
Parental Guidance,Parental Guidance,25000000,119772232,4.79088928,36
No Strings Attached,No Strings Attached,25000000,147780440,5.9112176,50
Tombstone,Tombstone,25000000,56505065,2.2602026,50
Romeo Must Die,Romeo Must Die,25000000,91036760,3.6414704,52
Final Destination 3,Final Destination 3,25000000,117719158,4.70876632,41
The Lucky One,The Lucky One,25000000,99357138,3.97428552,39
Bridge to Terabithia,Bridge to Terabithia,60000000,137587063,2.293117717,74
Finding Neverland,Finding Neverland,25000000,116766556,4.67066224,67
The Grey,The Grey,25000000,77278331,3.09113324,64
Hide and Seek,Hide and Seek,25000000,122644820,4.9057928,35
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,26000000,90574188,3.483622615,63
GoodFellas,GoodFellas,25000000,46836394,1.87345576,90
Agent Cody Banks,Agent Cody Banks,28000000,58795814,2.0998505,41
Nanny McPhee,Nanny McPhee,25000000,122489822,4.89959288,59
Scarface,Scarface,25000000,65884703,2.63538812,65
The Last Emperor,The Last Emperor,23000000,43984230,1.912357826,76
Contraband,Contraband,25000000,63100000,2.524,51
There Will Be Blood,There Will Be Blood,25000000,77208711,3.08834844,93
Undercover Brother,Undercover Brother,25000000,41604473,1.66417892,69
The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,25000000,39053061,1.56212244,66
Kiss of the Dragon,Kiss of the Dragon,25000000,64437847,2.57751388,58
The House Bunny,The House Bunny,25000000,70442940,2.8177176,55
Beauty Shop,Beauty Shop,25000000,36351350,1.454054,53
Million Dollar Arm,Million Dollar Arm,25000000,38307627,1.53230508,56
The Giver,The Giver,25000000,66980456,2.67921824,47
Jeepers Creepers 2,Jeepers Creepers 2,17000000,63102666,3.711921529,36
Good Luck Chuck,Good Luck Chuck,25000000,59192128,2.36768512,19
Cradle 2 the Grave,Cradle 2 the Grave,25000000,56489558,2.25958232,36
The Hours,The Hours,25000000,41597830,1.6639132,80
She's the Man,She's the Man,20000000,33889159,1.69445795,45
Mr. Bean's Holiday,Mr. Bean's Holiday,25000000,229736344,9.18945376,56
Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,20000000,70992898,3.5496449,40
Blood Ties,Blood Ties,25500000,2415472,0.094724392,45
August Rush,August Rush,25000000,66122026,2.64488104,38
Elizabeth,Elizabeth,30000000,82150642,2.738354733,75
Bride of Chucky,Bride of Chucky,25000000,50671850,2.026874,48
Tora! Tora! Tora!,Tora! Tora! Tora!,25485000,29548291,1.159438532,46
Spice World,Spice World,25000000,100000000,4,32
The Sitter,The Sitter,25000000,34942188,1.39768752,39
The Shawshank Redemption,The Shawshank Redemption,25000000,28341469,1.13365876,80
Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,21150000,39438674,1.864712719,37
Kingpin,Kingpin,27000000,25023434,0.926793852,43
The Gambler,The Gambler,25000000,39171130,1.5668452,55
August: Osage County,August: Osage County,25000000,74188937,2.96755748,58
Ice Princess,Ice Princess,25000000,27645491,1.10581964,55
A Lot Like Love,A Lot Like Love,30000000,42886719,1.4295573,48
Eddie the Eagle,Eddie the Eagle,23000000,46152800,2.006643478,54
He Got Game,He Got Game,25000000,21567853,0.86271412,63
Don Juan DeMarco,Don Juan DeMarco,25000000,22200000,0.888,63
Dear John,Dear John,25000000,114977104,4.59908416,43
The Losers,The Losers,25000000,23580000,0.9432,44
Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,25000000,36993168,1.47972672,56
War,War,25000000,40452643,1.61810572,36
Punch-Drunk Love,Punch-Drunk Love,25000000,17000000,0.68,78
EuroTrip,EuroTrip,25000000,20796847,0.83187388,45
The Greatest Game Ever Played,The Greatest Game Ever Played,25000000,15431177,0.61724708,55
The Box,The Box,30000000,33333531,1.1111177,47
The Next Best Thing,The Next Best Thing,25000000,24362772,0.97451088,25
My Soul to Take,My Soul to Take,25000000,19829957,0.79319828,25
The Girl Next Door,The Girl Next Door,25000000,30411183,1.21644732,47
Legend,Legend,25000000,42972994,1.71891976,55
Angela's Ashes,Angela's Ashes,25,13,0.52,54
Draft Day,Draft Day,25000000,28831145,1.1532458,54
The Conspirator,The Conspirator,25000000,15478800,0.619152,55
Lords of Dogtown,Lords of Dogtown,25000000,13411957,0.53647828,56
The 33,The 33,25000000,24902723,0.99610892,55
Big Trouble in Little China,Big Trouble in Little China,25000000,11000000,0.44,53
Warrior,Warrior,25000000,23057115,0.9222846,71
Michael Collins,Michael Collins,28000000,16900000,0.603571429,60
Stop-Loss,Stop-Loss,25000000,11207130,0.4482852,61
Abandon,Abandon,25000000,10719357,0.42877428,36
Brokedown Palace,Brokedown Palace,25000000,13000000,0.52,44
The Possession,The Possession,14000000,85446075,6.103291071,45
Mrs. Winterbourne,Mrs. Winterbourne,25000000,10070000,0.4028,35
Straw Dogs,Straw Dogs,25000000,10324441,0.41297764,70
The Hoax,The Hoax,25000000,11772461,0.47089844,70
The Road,The Road,32000000,27635305,0.863603281,64
Tank Girl,Tank Girl,25000000,4064495,0.1625798,46
Blindness,Blindness,25000000,19844979,0.79379916,45
BloodRayne,BloodRayne,25000000,2405420,0.0962168,18
Carnage,Carnage,25000000,27603069,1.10412276,61
Me and Orson Welles,Me and Orson Welles,25000000,2336172,0.09344688,73
The Best Offer,The Best Offer,13500000,19255873,1.426360963,49
Little White Lies,Little White Lies,25000000,48531470,1.9412588,50
Dangerous Liaisons,Dangerous Liaisons,14000000,34670720,2.47648,74
On the Road,On the Road,25000000,8784318,0.35137272,56
Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,24000000,133000000,5.541666667,71
Rocky Balboa,Rocky Balboa,24000000,155721132,6.4883805,63
Scream 2,Scream 2,24000000,172363301,7.181804208,63
Jane Got a Gun,Jane Got a Gun,25000000,1397284,0.05589136,49
Think Like a Man Too,Think Like a Man Too,24000000,70181428,2.924226167,38
The Whole Nine Yards,The Whole Nine Yards,41300000,106371651,2.57558477,47
Footloose,Footloose,8200000,80035402,9.760414878,42
Old School,Old School,24000000,87055349,3.627306208,54
The Fisher King,The Fisher King,24000000,41895491,1.745645458,61
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,65000000,40002112,0.615417108,21
Return to Me,Return to Me,24000000,36609995,1.525416458,54
Zack and Miri Make a Porno,Zack and Miri Make a Porno,24000000,42105111,1.754379625,56
The Men Who Stare at Goats,The Men Who Stare at Goats,24000000,68729358,2.86372325,54
Win a Date with Tad Hamilton!,Win a Date with Tad Hamilton!,17000000,16980098,0.998829294,52
Muppets from Space,Muppets from Space,24000000,16290976,0.678790667,53
Ready to Rumble,Ready to Rumble,24000000,12372410,0.515517083,23
Play It to the Bone,Play It to the Bone,24000000,8434146,0.35142275,32
I Don't Know How She Does It,I Don't Know How She Does It,24000000,30551495,1.272978958,38
Piranha 3D,Piranha 3D,24000000,83188165,3.466173542,53
Faster,Faster,24000000,23081726,0.961738583,44
Howl's Moving Castle,Howl's Moving Castle,24000000,234710455,9.779602292,80
Zombieland,Zombieland,23600000,102391382,4.338617881,73
The Waterboy,The Waterboy,23000000,185991646,8.086593304,41
Bad Boys,Bad Boys,19000000,141407024,7.442474947,41
Final Destination,Final Destination,23000000,53302314,2.317491913,36
The Ides of March,The Ides of March,12500000,75993061,6.07944488,67
Pitch Black,Pitch Black,23000000,53187659,2.312506913,49
Her,Her,23000000,47351251,2.058750043,90
Joy Ride,Joy Ride,23000000,36642838,1.59316687,75
The Adventurer: The Curse of the Midas Box,The Adventurer: The Curse of the Midas Box,25000000,6399,0.00025596,39
Anywhere But Here,Anywhere But Here,23000000,18653615,0.811026739,59
Haywire,Haywire,23000000,33372606,1.45098287,67
Jaws: The Revenge,Jaws: The Revenge,23000000,51881013,2.255696217,15
The End of the Affair,The End of the Affair,23000000,10827816,0.470774609,65
In the Valley of Elah,In the Valley of Elah,23000000,29541790,1.284425652,65
Vanity Fair,Vanity Fair,23000000,16123851,0.701037,53
1408,1408,25000000,94679598,3.78718392,64
Spaceballs,Spaceballs,22700000,38119483,1.679272379,46
The Water Diviner,The Water Diviner,22500000,15520023,0.6897788,50
The Santa Clause,The Santa Clause,22000000,189833357,8.628788955,57
The Rookie,The Rookie,20000000,75597042,3.7798521,72
The Game Plan,The Game Plan,22000000,147880543,6.721842864,44
The Bridges of Madison County,The Bridges of Madison County,24000000,182016617,7.584025708,66
The Animal,The Animal,22000000,84772742,3.853306455,43
Gandhi,Gandhi,22000000,77737889,3.533540409,79
The Hundred-Foot Journey,The Hundred-Foot Journey,22000000,88880821,4.040037318,55
The Net,The Net,22000000,110627965,5.028543864,51
I Am Sam,I Am Sam,22000000,92542418,4.206473545,28
Son of God,Son of God,22000000,67800064,3.081821091,37
Underworld,Underworld,22000000,95708457,4.350384409,42
Derailed,Derailed,22000000,57479076,2.612685273,40
The Informant!,The Informant!,22000000,35424826,1.610219364,66
Deuce Bigalow: European Gigolo,Deuce Bigalow: European Gigolo,22000000,22400154,1.018188818,23
Delivery Man,Delivery Man,26000000,51164106,1.967850231,44
Saving Silverman,Saving Silverman,22000000,19351569,0.879616773,22
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,22000000,77112176,3.505098909,54
Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,22000000,33788161,1.5358255,51
The Glass House,The Glass House,30000000,23619609,0.7873203,34
"Hail, Caesar!","Hail, Caesar!",22000000,63647656,2.893075273,72
Homefront,Homefront,22000000,43058898,1.957222636,40
The Little Vampire,The Little Vampire,22000000,13555988,0.616181273,45
RoboCop 3,RoboCop 3,22000000,10696210,0.486191364,40
The Transporter Refueled,The Transporter Refueled,25000000,72629670,2.9051868,32
Black Book,Black Book,21000000,26193068,1.247288952,71
Hit & Run,Hit & Run,2000000,14400000,7.2,50
Before I Go to Sleep,Before I Go to Sleep,22000000,15447154,0.702143364,41
Sorcerer,Sorcerer,22000000,12000000,0.545454545,68
Stone,Stone,22000000,9479718,0.430896273,58
Out of the Furnace,Out of the Furnace,22000000,15400000,0.7,63
Michael Clayton,Michael Clayton,25000000,92991835,3.7196734,82
Underdogs,Underdogs,22000000,24000000,1.090909091,38
To Rome with Love,To Rome with Love,17000000,73244881,4.308522412,54
Firefox,Firefox,18000000,70687344,3.927074667,44
Death at a Funeral,Death at a Funeral,9000000,46,5.11111E-06,67
Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,21000000,42000000,2,40
Hardball,Hardball,32000000,40222729,1.256960281,48
Silver Linings Playbook,Silver Linings Playbook,21000000,205738714,9.797081619,81
Freedom Writers,Freedom Writers,21000000,41170784,1.960513524,64
The Transporter,The Transporter,21000000,43928932,2.091853905,51
Never Back Down,Never Back Down,20000000,41627431,2.08137155,39
The Rage: Carrie 2,The Rage: Carrie 2,21000000,17762705,0.845843095,42
Away We Go,Away We Go,17000000,14899417,0.876436294,58
Swing Vote,Swing Vote,21000000,17600000,0.838095238,47
Moonlight Mile,Moonlight Mile,21000000,10011050,0.476716667,59
The Beaver,The Beaver,21000000,970816,0.046229333,60
The Best Little Whorehouse in Texas,The Best Little Whorehouse in Texas,35000000,69701637,1.991475343,40
eXistenZ,eXistenZ,15000000,2856712,0.190447467,68
Pulse,Pulse,38000000,29907685,0.787044342,27
Beverly Hills Cop II,Beverly Hills Cop II,20000000,299965036,14.9982518,48
Bringing Down the House,Bringing Down the House,20000000,132675402,6.6337701,39
The Silence of the Lambs,The Silence of the Lambs,19000000,272742922,14.35489063,85
Wayne's World,Wayne's World,20000000,121697323,6.08486615,57
Jackass 3D,Jackass 3D,20000000,117224271,5.86121355,56
Jaws 2,Jaws 2,20000000,187884007,9.39420035,51
Beverly Hills Chihuahua,Beverly Hills Chihuahua,20000000,149281606,7.4640803,41
Are We There Yet?,Are We There Yet?,32000000,97918663,3.059958219,27
Tammy,Tammy,20000000,100525432,5.0262716,39
School of Rock,School of Rock,35000000,131282949,3.7509414,82
Mortal Kombat,Mortal Kombat,18000000,122195920,6.788662222,58
White Chicks,White Chicks,37000000,113086475,3.056391216,41
The Descendants,The Descendants,20000000,177243185,8.86215925,84
12 Years a Slave,12 Years a Slave,20000000,187000000,9.35,96
Drumline,Drumline,20000000,57588485,2.87942425,63
Why Did I Get Married Too?,Why Did I Get Married Too?,20000000,60072596,3.0036298,43
Edward Scissorhands,Edward Scissorhands,20000000,53000000,2.65,74
Me Before You,Me Before You,20000000,207945075,10.39725375,51
Bad Moms,Bad Moms,20000000,183936074,9.1968037,60
Date Movie,Date Movie,20000000,48548426,2.4274213,11
Return to Never Land,Return to Never Land,20000000,109862682,5.4931341,49
Selma,Selma,20000000,66787908,3.3393954,88
The Jungle Book 2,The Jungle Book 2,20000000,135680000,6.784,38
Boogeyman,Boogeyman,20000000,67192859,3.35964295,32
Premonition,Premonition,20000000,84146832,4.2073416,29
The Tigger Movie,The Tigger Movie,30000000,45554533,1.518484433,53
Orphan,Orphan,20000000,41596251,2.07981255,42
Max,Max,20000000,43967255,2.19836275,47
Epic Movie,Epic Movie,20000000,86865564,4.3432782,17
Spotlight,Spotlight,20000000,88346473,4.41732365,93
Lakeview Terrace,Lakeview Terrace,20000000,27640028,1.3820014,47
The Grudge 2,The Grudge 2,20000000,39143839,1.95719195,33
How Stella Got Her Groove Back,How Stella Got Her Groove Back,20000000,37672350,1.8836175,56
Man of the Year,Man of the Year,20000000,41237648,2.0618824,39
The Black Hole,The Black Hole,20000000,35841901,1.79209505,52
The American,The American,20000000,65464324,3.2732162,61
Selena,Selena,20000000,60000000,3,67
Vampires Suck,Vampires Suck,20000000,80547866,4.0273933,18
Babel,Babel,25000000,135330182,5.41320728,69
This Is Where I Leave You,This Is Where I Leave You,19800000,41296320,2.085672727,44
Doubt,Doubt,20000000,50907234,2.5453617,68
Team America: World Police,Team America: World Police,32000000,50907422,1.590856938,64
Scary Movie 5,Scary Movie 5,20000000,78378744,3.9189372,11
Paint Your Wagon,Paint Your Wagon,20000000,31678778,1.5839389,50
Milk,Milk,20000000,54586584,2.7293292,84
Risen,Risen,20000000,46069568,2.3034784,51
Ghost Ship,Ghost Ship,35000000,68349884,1.952853829,28
A Very Harold & Kumar Christmas,A Very Harold & Kumar Christmas,19000000,35387212,1.862484842,61
Wild Things,Wild Things,20000000,67200000,3.36,52
The Debt,The Debt,20000000,45636368,2.2818184,65
High Fidelity,High Fidelity,30000000,47126295,1.5708765,79
The Bank Job,The Bank Job,20000000,64822796,3.2411398,69
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,20000000,72258126,3.6129063,89
You Again,You Again,20000000,32005248,1.6002624,28
Street Kings,Street Kings,20000000,65569869,3.27849345,55
The World's End,The World's End,20000000,46089287,2.30446435,81
Daybreakers,Daybreakers,20000000,51416464,2.5708232,57
She's Out of My League,She's Out of My League,20000000,49779728,2.4889864,46
Monte Carlo,Monte Carlo,20000000,17425000,0.87125,43
Stay Alive,Stay Alive,9000000,27105095,3.011677222,24
Alpha and Omega,Alpha and Omega,20000000,39300000,1.965,36
The Covenant,The Covenant,20000000,37597471,1.87987355,19
Shorts,Shorts,40000000,28972508,0.7243127,53
To Die For,To Die For,20000000,21284514,1.0642257,86
Nerve,Nerve,20000000,83707310,4.1853655,58
Appaloosa,Appaloosa,20000000,20211394,1.0105697,64
My Best Friend's Girl,My Best Friend's Girl,20000000,36620508,1.8310254,34
Endless Love,Endless Love,20000000,34077920,1.703896,30
Ladyhawke,Ladyhawke,20000000,18432000,0.9216,64
Simon Birch,Simon Birch,20000000,18253415,0.91267075,39
Reign Over Me,Reign Over Me,20000000,22222308,1.1111154,61
Into the Wild,Into the Wild,15000000,56255142,3.7503428,73
School for Scoundrels,School for Scoundrels,20000000,17807569,0.89037845,44
From Dusk Till Dawn,From Dusk Till Dawn,19000000,25836616,1.359821895,48
Kung Fu Hustle,Kung Fu Hustle,20000000,100914445,5.04572225,78
The Kite Runner,The Kite Runner,20000000,73276047,3.66380235,61
21 Grams,21 Grams,20000000,60427839,3.02139195,70
Paparazzi,Paparazzi,20000000,16605763,0.83028815,38
A Guy Thing,A Guy Thing,20000000,17432163,0.87160815,27
Capitalism: A Love Story,Capitalism: A Love Story,20000000,17436509,0.87182545,61
Secret in Their Eyes,Secret in Their Eyes,19500000,34854990,1.787435385,45
Disaster Movie,Disaster Movie,25000000,14109284,0.56437136,15
Armored,Armored,20000000,22942221,1.14711105,50
What's Your Number?,What's Your Number?,20000000,30426096,1.5213048,35
Lockout,Lockout,20000000,32204030,1.6102015,48
Crank: High Voltage,Crank: High Voltage,20000000,34560577,1.72802885,41
