Title,Title,Budget,Revenue,BD Ratio,IMDB score
K-19: The Widowmaker,K-19: The Widowmaker,100000000,35168966,0.35168966,6.70
Conan the Barbarian,Conan the Barbarian,20000000,79114085,3.95570425,6.90
Cinderella Man,Cinderella Man,88000000,108539911,1.23340808,8.00
Seabiscuit,Seabiscuit,87000000,148336445,1.705016609,7.30
Twister,Twister,92000000,494471524,5.374690478,6.40
Cast Away,Cast Away,90000000,429632142,4.773690467,7.80
Happy Feet,Happy Feet,100000000,384335608,3.84335608,6.40
The Bourne Supremacy,The Bourne Supremacy,75000000,288500217,3.84666956,7.70
Air Force One,Air Force One,85000000,315156409,3.707722459,6.50
Ocean's Eleven,Ocean's Eleven,85000000,450717150,5.302554706,7.80
The Three Musketeers,The Three Musketeers,75000000,132274484,1.763659787,5.70
Hotel Transylvania,Hotel Transylvania,85000000,358375603,4.216183565,7.10
Enchanted,Enchanted,85000000,340487652,4.005737082,7.00
Safe House,Safe House,85000000,208076205,2.447955353,6.70
102 Dalmatians,102 Dalmatians,85000000,183611771,2.160138482,4.90
Tower Heist,Tower Heist,75000000,152930623,2.039074973,6.20
The Holiday,The Holiday,85000000,194168700,2.284337647,6.90
Enemy of the State,Enemy of the State,90000000,250649836,2.784998178,7.30
It's Complicated,It's Complicated,85000000,219103655,2.577690059,6.50
Ocean's Thirteen,Ocean's Thirteen,85000000,311312624,3.662501459,6.90
Open Season,Open Season,85000000,197309027,2.321282671,6.10
Divergent,Divergent,85000000,288747895,3.397034059,6.70
Enemy at the Gates,Enemy at the Gates,68000000,96976270,1.426121618,7.60
The Rundown,The Rundown,85000000,80916492,0.951958729,6.70
Last Action Hero,Last Action Hero,85000000,137298489,1.615276341,6.40
Memoirs of a Geisha,Memoirs of a Geisha,85000000,162242962,1.908740729,7.40
The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,85000000,158468292,1.864332847,6.00
Meet Joe Black,Meet Joe Black,90000000,142940100,1.588223333,7.20
Collateral Damage,Collateral Damage,85000000,78382433,0.922146271,5.50
Mirror Mirror,Mirror Mirror,85000000,183018522,2.153159082,5.60
Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,60000000,47664559,0.794409317,7.50
The Core,The Core,60000000,74208267,1.23680445,5.50
Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,84000000,123307945,1.467951726,4.40
Scooby-Doo,Scooby-Doo,84000000,275650703,3.281555988,5.00
Dredd,Dredd,50000000,41037742,0.82075484,7.10
Click,Click,82500000,237681299,2.880985442,6.40
Creepshow,Creepshow,8000000,21028755,2.628594375,6.90
Cats & Dogs 2 : The Revenge of Kitty Galore,Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,1.3233384,7.70
Jumper,Jumper,85000000,222231186,2.614484541,6.10
Hellboy II: The Golden Army,Hellboy II: The Golden Army,85000000,160388063,1.886918388,7.00
Zodiac,Zodiac,65000000,84785914,1.304398677,7.70
The 6th Day,The 6th Day,82000000,96085477,1.17177411,5.90
Bruce Almighty,Bruce Almighty,80000000,484572835,6.057160438,6.70
The Expendables,The Expendables,80000000,274470394,3.430879925,6.50
Mission: Impossible,Mission: Impossible,80000000,457696359,5.721204488,7.40
The Hunger Games,The Hunger Games,75000000,691210692,9.21614256,7.20
The Hangover Part II,The Hangover Part II,80000000,254455986,3.180699825,6.40
Batman Returns,Batman Returns,80000000,280000000,3.5,7.00
Over the Hedge,Over the Hedge,80000000,343397247,4.292465588,6.70
Lilo & Stitch,Lilo & Stitch,80000000,145771527,1.822144088,7.20
Charlotte's Web,Charlotte's Web,85000000,144000000,1.694117647,6.30
Deep Impact,Deep Impact,75000000,140464664,1.872862187,6.20
The Longest Yard,The Longest Yard,82000000,190320568,2.320982537,6.40
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,4.569272467,4.30
Grown Ups 2,Grown Ups 2,80000000,246984278,3.087303475,5.40
Get Smart,Get Smart,80000000,230685453,2.883568163,6.50
Something's Gotta Give,Something's Gotta Give,80000000,266728738,3.334109225,6.70
Shutter Island,Shutter Island,80000000,294804195,3.685052438,8.10
Four Christmases,Four Christmases,80000000,163733697,2.046671213,5.70
Robots,Robots,75000000,260696994,3.47595992,6.30
Face/Off,Face/Off,80000000,245676146,3.070951825,7.30
Bedtime Stories,Bedtime Stories,80000000,212874442,2.660930525,6.00
Road to Perdition,Road to Perdition,80000000,181001478,2.262518475,7.70
Just Go with It,Just Go with It,80000000,214918407,2.686480088,6.40
Con Air,Con Air,75000000,224012234,2.986829787,6.90
Eagle Eye,Eagle Eye,80000000,178066569,2.225832113,6.60
Cold Mountain,Cold Mountain,79000000,173013509,2.190044418,7.20
The Book of Eli,The Book of Eli,80000000,157107755,1.963846938,6.90
Flubber,Flubber,80000000,177977226,2.224715325,5.30
The Haunting,The Haunting,80000000,91188905,1.139861313,5.00
Space Jam,Space Jam,80000000,250200000,3.1275,6.40
The Day the Earth Stood Still,The Day the Earth Stood Still,80000000,233093859,2.913673238,5.50
Conspiracy Theory,Conspiracy Theory,75000000,136982834,1.826437787,6.70
Fury,Fury,68000000,211817906,3.114969206,7.60
Six Days Seven Nights,Six Days Seven Nights,70000000,164000000,2.342857143,5.80
Yogi Bear,Yogi Bear,80000000,201584141,2.519801763,4.60
Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,80000000,122563539,1.532044238,7.10
Zookeeper,Zookeeper,80000000,169852759,2.123159488,5.20
Lost in Space,Lost in Space,80000000,136159423,1.701992788,5.20
The Manchurian Candidate,The Manchurian Candidate,80000000,96105964,1.20132455,6.60
Hotel Transylvania 2,Hotel Transylvania 2,80000000,473226958,5.915336975,6.70
Fantasia 2000,Fantasia 2000,80000000,90874570,1.135932125,7.20
The Time Machine,The Time Machine,80000000,123729176,1.5466147,6.00
Swordfish,Swordfish,102000000,147080413,1.441964833,6.50
The Legend of Zorro,The Legend of Zorro,75000000,142400065,1.898667533,5.90
What Dreams May Come,What Dreams May Come,85000000,71485043,0.841000506,7.00
The Brothers Grimm,The Brothers Grimm,88000000,105316267,1.196775761,5.90
Mars Attacks!,Mars Attacks!,70000000,101371017,1.448157386,6.30
Surrogates,Surrogates,80000000,122444772,1.53055965,6.30
Thirteen Days,Thirteen Days,80000000,34566746,0.432084325,7.30
Daylight,Daylight,80000000,159212469,1.990155863,5.90
Walking With Dinosaurs,Walking With Dinosaurs,80000000,126546518,1.581831475,8.50
Battlefield Earth,Battlefield Earth,44000000,21400000,0.486363636,2.50
Looney Tunes: Back in Action,Looney Tunes: Back in Action,80000000,68514844,0.85643555,5.70
Nine,Nine,80000000,53825515,0.672818938,5.80
Timeline,Timeline,80000000,19480739,0.243509238,5.60
The Postman,The Postman,80000000,17626234,0.220327925,6.10
Babe: Pig in the City,Babe: Pig in the City,90000000,69131860,0.768131778,5.70
The Last Witch Hunter,The Last Witch Hunter,90000000,146936910,1.632632333,6.00
Red Planet,Red Planet,80000000,33463969,0.418299613,5.70
Arthur and the Invisibles,Arthur and the Invisibles,86000000,107944236,1.255165535,6.00
A Sound of Thunder,A Sound of Thunder,80000000,5989640,0.0748705,4.20
Pompeii,Pompeii,130000000,117831631,0.906397162,5.50
A Beautiful Mind,A Beautiful Mind,60000000,313542341,5.225705683,8.20
Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,79000000,355692760,4.50244,5.80
Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,78000000,248384621,3.184418218,6.40
Red Dragon,Red Dragon,78000000,209196298,2.682003821,7.20
Hidalgo,Hidalgo,100000000,108103450,1.0810345,6.70
Jack and Jill,Jack and Jill,79000000,149673788,1.894604911,3.30
2 Fast 2 Furious,2 Fast 2 Furious,76000000,236350661,3.109877118,5.90
The Little Prince,The Little Prince,64000000,97571250,1.524550781,7.70
The Invasion,The Invasion,80000000,15071514,0.188393925,5.90
The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,76000000,35134820,0.462300263,4.10
The Secret Life of Pets,The Secret Life of Pets,75000000,875958308,11.67944411,6.50
The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,78000000,179265204,2.298271846,5.80
Despicable Me 2,Despicable Me 2,76000000,970761885,12.7731827,7.30
Independence Day,Independence Day,75000000,816969268,10.89292357,7.00
The Lost World: Jurassic Park,The Lost World: Jurassic Park,73000000,229074524,3.138007178,6.60
Madagascar,Madagascar,75000000,532680671,7.102408947,6.90
Children of Men,Children of Men,76000000,69959751,0.920523039,7.90
X-Men,X-Men,75000000,296339527,3.951193693,7.40
Wanted,Wanted,75000000,258270008,3.443600107,6.70
The Rock,The Rock,75000000,335062621,4.467501613,7.40
Ice Age: The Meltdown,Ice Age: The Meltdown,80000000,660940780,8.26175975,6.80
50 First Dates,50 First Dates,75000000,196482882,2.61977176,6.80
Hairspray,Hairspray,50000000,90450008,1.80900016,6.60
Exorcist: The Beginning,Exorcist: The Beginning,80000000,78000586,0.975007325,5.10
Now You See Me,Now You See Me,75000000,117698894,1.569318587,7.30
Grown Ups,Grown Ups,80000000,271430189,3.392877363,5.90
The Terminal,The Terminal,60000000,219417255,3.65695425,7.30
Hotel for Dogs,Hotel for Dogs,35000000,73034460,2.086698857,5.40
Vertical Limit,Vertical Limit,75000000,215663859,2.87551812,5.90
Charlie Wilson's War,Charlie Wilson's War,75000000,119000410,1.586672133,7.00
Shark Tale,Shark Tale,75000000,367275019,4.897000253,6.00
Dreamgirls,Dreamgirls,70000000,154937680,2.213395429,6.50
Be Cool,Be Cool,53000000,95226116,1.79671917,5.60
Munich,Munich,70000000,130358911,1.862270157,7.50
Tears of the Sun,Tears of the Sun,70000000,85632458,1.223320829,6.60
Killers,Killers,75000000,98159963,1.308799507,5.40
The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,75000000,108145109,1.441934787,7.30
Spanglish,Spanglish,80000000,55041367,0.688017088,6.40
Monster House,Monster House,75000000,140175006,1.86900008,6.60
Bandits,Bandits,75000000,67631903,0.901758707,6.50
First Knight,First Knight,55000000,127600435,2.320007909,6.00
Immortals,Immortals,75000000,226904017,3.025386893,6.00
Hostage,Hostage,52000000,77944725,1.498937019,6.60
Titan A.E.,Titan A.E.,75000000,36754634,0.490061787,6.60
Hollywood Homicide,Hollywood Homicide,75000000,51142659,0.68190212,5.30
Soldier,Soldier,75000000,14567883,0.19423844,6.00
Monkeybone,Monkeybone,75000000,5409517,0.072126893,4.70
Flight of the Phoenix,Flight of the Phoenix,45000000,21009180,0.466870667,6.10
Unbreakable,Unbreakable,75000000,248118121,3.308241613,7.30
Sucker Punch,Sucker Punch,82000000,89792502,1.095030512,6.00
Snake Eyes,Snake Eyes,73000000,103891409,1.423169986,6.00
Sphere,Sphere,75000000,13100000,0.174666667,6.10
The Angry Birds Movie,The Angry Birds Movie,73000000,349779543,4.791500589,6.30
Fool's Gold,Fool's Gold,70000000,111231041,1.589014871,5.70
Funny People,Funny People,75000000,61458982,0.819453093,6.30
The Kingdom,The Kingdom,70000000,86658558,1.2379794,7.00
Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,2.247809338,6.60
Dr. Dolittle 2,Dr. Dolittle 2,70000000,176104344,2.515776343,4.70
Braveheart,Braveheart,72000000,210000000,2.916666667,8.30
Jarhead,Jarhead,72000000,96889998,1.345694417,7.00
The Simpsons Movie,The Simpsons Movie,75000000,527068851,7.02758468,7.30
The Majestic,The Majestic,72000000,37317558,0.518299417,6.90
Driven,Driven,94000000,54744738,0.58239083,4.60
Two Brothers,Two Brothers,74500000,62172050,0.834524161,7.10
The Village,The Village,60000000,256697520,4.278292,6.50
Doctor Dolittle,Doctor Dolittle,71000000,294456605,4.147276127,5.40
Signs,Signs,72000000,408247917,5.670109958,6.70
Shrek 2,Shrek 2,150000000,919838758,6.132258387,7.20
Cars,Cars,120000000,461983149,3.849859575,7.10
Runaway Bride,Runaway Bride,70000000,309457509,4.420821557,5.50
xXx,xXx,70000000,277448382,3.963548314,5.90
The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,74000000,311594032,4.210730162,6.00
Ransom,Ransom,80000000,309492681,3.868658513,6.60
Inglourious Basterds,Inglourious Basterds,70000000,319131050,4.559015,8.30
Hook,Hook,70000000,300854823,4.297926043,6.80
Die Hard 2,Die Hard 2,70000000,240031094,3.429015629,7.20
S.W.A.T.,S.W.A.T.,80000000,116643346,1.458041825,6.00
Vanilla Sky,Vanilla Sky,68000000,203388341,2.991005015,6.90
Lady in the Water,Lady in the Water,75000000,42285169,0.563802253,5.50
AVP: Alien vs. Predator,AVP: Alien vs. Predator,70000000,171183863,2.445483757,6.40
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,75000000,443140005,5.9085334,4.50
We Were Soldiers,We Were Soldiers,75000000,114660784,1.528810453,7.10
Olympus Has Fallen,Olympus Has Fallen,70000000,161025640,2.300366286,6.50
Star Trek: Insurrection,Star Trek: Insurrection,70000000,118000000,1.685714286,6.40
Battle: Los Angeles,Battle: Los Angeles,70000000,202466756,2.892382229,5.70
Big Fish,Big Fish,70000000,122919055,1.7559865,8.00
War Horse,War Horse,66000000,177584879,2.690679985,7.20
The Monuments Men,The Monuments Men,70000000,154984035,2.214057643,6.10
The Abyss,The Abyss,70000000,90000098,1.285715686,7.60
Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,70000000,134748021,1.924971729,6.20
Dracula Untold,Dracula Untold,70000000,215529201,3.078988586,6.30
The Siege,The Siege,70000000,116672912,1.666755886,6.40
Stardust,Stardust,70000000,135560026,1.9365718,7.60
Seven Years in Tibet,Seven Years in Tibet,70000000,131457682,1.877966886,7.10
The Dilemma,The Dilemma,70000000,67112664,0.958752343,5.30
Bad Company,Bad Company,70000000,65977295,0.942532786,5.60
Doom,Doom,60000000,55987321,0.933122017,5.20
I Spy,I Spy,70000000,33561137,0.479444814,5.40
Underworld: Awakening,Underworld: Awakening,70000000,160112671,2.287323871,6.40
Rock of Ages,Rock of Ages,75000000,59418613,0.792248173,5.90
Hart's War,Hart's War,70000000,32287044,0.461243486,6.30
Killer Elite,Killer Elite,66000000,57777106,0.875410697,6.50
Ballistic: Ecks vs. Sever,Ballistic: Ecks vs. Sever,70000000,19924033,0.284629043,3.70
Hard Rain,Hard Rain,70000000,19870567,0.283865243,5.90
Osmosis Jones,Osmosis Jones,75000000,13596911,0.181292147,6.30
Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,70000000,18662027,0.266600386,5.10
Blackhat,Blackhat,70000000,17752940,0.253613429,5.40
Sky Captain and the World of Tomorrow,Sky Captain and the World of Tomorrow,70000000,57958696,0.827981371,6.00
Basic Instinct 2,Basic Instinct 2,70000000,38629478,0.551849686,4.30
Escape Plan,Escape Plan,50000000,122915111,2.45830222,6.70
The Legend of Hercules,The Legend of Hercules,70000000,61279452,0.875420743,4.20
The Sum of All Fears,The Sum of All Fears,68000000,193000000,2.838235294,6.40
The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,68000000,698491347,10.27193157,5.00
The Score,The Score,68000000,71069884,1.045145353,6.80
Despicable Me,Despicable Me,69000000,543513985,7.877014275,7.60
Money Train,Money Train,60000000,35431113,0.59051855,5.70
Ted 2,Ted 2,68000000,217022588,3.191508647,6.30
Agora,Agora,70000000,39041505,0.557735786,7.20
Mystery Men,Mystery Men,68000000,29762011,0.437676632,6.10
Hall Pass,Hall Pass,36000000,83160734,2.310020389,5.80
The Insider,The Insider,90000000,60289912,0.669887911,7.80
The Finest Hours,The Finest Hours,80000000,52099090,0.651238625,6.70
Body of Lies,Body of Lies,70000000,113280098,1.618287114,7.10
Dinner for Schmucks,Dinner for Schmucks,69000000,86387857,1.251997928,5.90
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,69000000,112265139,1.627031,5.90
Entrapment,Entrapment,66000000,212404396,3.218248424,6.30
The X Files,The X Files,66000000,189198313,2.866641106,7.00
The Last Legion,The Last Legion,67000000,25303038,0.377657284,5.40
Saving Private Ryan,Saving Private Ryan,70000000,481840909,6.883441557,8.60
Need for Speed,Need for Speed,66000000,203277636,3.079964182,6.50
What Women Want,What Women Want,70000000,374111707,5.344452957,6.40
Ice Age,Ice Age,59000000,383257136,6.495883661,7.50
Dreamcatcher,Dreamcatcher,68000000,75715436,1.113462294,5.50
Lincoln,Lincoln,65000000,275293450,4.235283846,7.30
The Matrix,The Matrix,63000000,463517383,7.357418778,8.70
Apollo 13,Apollo 13,52000000,355237933,6.831498712,7.60
The Santa Clause 2,The Santa Clause 2,65000000,172855065,2.659308692,5.60
You've Got Mail,You've Got Mail,65000000,250821495,3.858792231,6.60
Step Brothers,Step Brothers,65000000,128107642,1.9708868,6.90
The Mask of Zorro,The Mask of Zorro,95000000,250288523,2.634616032,6.70
Due Date,Due Date,65000000,211780824,3.258166523,6.50
Unbroken,Unbroken,65000000,163442937,2.514506723,7.20
Space Cowboys,Space Cowboys,65000000,128884132,1.9828328,6.40
Cliffhanger,Cliffhanger,70000000,255000211,3.642860157,6.40
Broken Arrow,Broken Arrow,50000000,150270147,3.00540294,6.00
The Kid,The Kid,65000000,69700000,1.072307692,8.30
World Trade Center,World Trade Center,63000000,162945894,2.586442762,5.90
The Dictator,The Dictator,65000000,179379533,2.759685123,6.40
Eyes Wide Shut,Eyes Wide Shut,65000000,162091208,2.493710892,7.40
Annie,Annie,65000000,133821816,2.058797169,6.60
Focus,Focus,50100000,153962963,3.073113034,6.60
This Means War,This Means War,65000000,156974557,2.414993185,6.30
